https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1606780800000,2020-12-01 00:00:00,BTT/USDT,0.00037950,0.00039000,0.00032390,0.00034150,22871275206.00000000,8208831.80728770,45837
1606694400000,2020-11-30 00:00:00,BTT/USDT,0.00031860,0.00041570,0.00031300,0.00037940,26937468549.00000000,9656396.90569310,47777
1606608000000,2020-11-29 00:00:00,BTT/USDT,0.00031860,0.00032490,0.00031390,0.00031870,8893107488.00000000,2839330.77758450,12492
1606521600000,2020-11-28 00:00:00,BTT/USDT,0.00031140,0.00032250,0.00030250,0.00031840,9471122794.00000000,2962781.42483090,14960
1606435200000,2020-11-27 00:00:00,BTT/USDT,0.00031050,0.00031410,0.00029600,0.00031160,11330620029.00000000,3460024.30609360,16769
1606348800000,2020-11-26 00:00:00,BTT/USDT,0.00034050,0.00035100,0.00029140,0.00031040,14551357226.00000000,4551425.29565180,27504
1606262400000,2020-11-25 00:00:00,BTT/USDT,0.00035820,0.00036650,0.00033350,0.00034080,13353426998.00000000,4703384.50920600,29088
1606176000000,2020-11-24 00:00:00,BTT/USDT,0.00032850,0.00036800,0.00032700,0.00035810,23904522223.00000000,8312756.99615720,33676
1606089600000,2020-11-23 00:00:00,BTT/USDT,0.00031170,0.00033050,0.00030700,0.00032810,17609189531.00000000,5654685.07448460,16651
1606003200000,2020-11-22 00:00:00,BTT/USDT,0.00032750,0.00032940,0.00030100,0.00031180,18889541108.00000000,5918228.09997430,16723
1605916800000,2020-11-21 00:00:00,BTT/USDT,0.00029870,0.00032900,0.00029680,0.00032760,16593947816.00000000,5192367.47939100,16207
1605830400000,2020-11-20 00:00:00,BTT/USDT,0.00029430,0.00030030,0.00029370,0.00029860,11148029594.00000000,3321932.18729440,7444
1605744000000,2020-11-19 00:00:00,BTT/USDT,0.00030000,0.00030060,0.00029060,0.00029400,8847394386.00000000,2613018.99479750,7333
1605657600000,2020-11-18 00:00:00,BTT/USDT,0.00029990,0.00030210,0.00029000,0.00030000,12009479648.00000000,3581744.06158070,9928
1605571200000,2020-11-17 00:00:00,BTT/USDT,0.00029310,0.00030290,0.00029260,0.00029960,11296629022.00000000,3351920.37176230,8566
1605484800000,2020-11-16 00:00:00,BTT/USDT,0.00029020,0.00029460,0.00028840,0.00029300,10134600688.00000000,2958338.57035610,6221
1605398400000,2020-11-15 00:00:00,BTT/USDT,0.00029100,0.00030090,0.00028770,0.00029030,10904473588.00000000,3183574.77833060,8010
1605312000000,2020-11-14 00:00:00,BTT/USDT,0.00029190,0.00029370,0.00028670,0.00029110,10395976405.00000000,3010959.89016480,6307
1605225600000,2020-11-13 00:00:00,BTT/USDT,0.00028710,0.00029800,0.00028630,0.00029170,12442629849.00000000,3619654.35243660,7725
1605139200000,2020-11-12 00:00:00,BTT/USDT,0.00029190,0.00029320,0.00028620,0.00028700,13546392627.00000000,3923912.64568270,7023
1605052800000,2020-11-11 00:00:00,BTT/USDT,0.00029240,0.00029580,0.00029090,0.00029170,11652336614.00000000,3420496.59060400,6971
1604966400000,2020-11-10 00:00:00,BTT/USDT,0.00029180,0.00029630,0.00028880,0.00029220,9237094952.00000000,2700193.71548020,5960
1604880000000,2020-11-09 00:00:00,BTT/USDT,0.00029560,0.00029830,0.00028770,0.00029160,13052378795.00000000,3833515.53957580,8115
1604793600000,2020-11-08 00:00:00,BTT/USDT,0.00028540,0.00029660,0.00028330,0.00029560,9771782569.00000000,2855084.67556260,5973
1604707200000,2020-11-07 00:00:00,BTT/USDT,0.00029980,0.00030530,0.00028300,0.00028520,13683218420.00000000,4036613.95269050,10403
1604620800000,2020-11-06 00:00:00,BTT/USDT,0.00028330,0.00030250,0.00028230,0.00029970,16302865526.00000000,4764126.87776970,10493
1604534400000,2020-11-05 00:00:00,BTT/USDT,0.00027700,0.00028580,0.00027360,0.00028300,16081613108.00000000,4496646.57902260,8963
1604448000000,2020-11-04 00:00:00,BTT/USDT,0.00027870,0.00030000,0.00027030,0.00027690,15625065136.00000000,4301840.15795550,8918
1604361600000,2020-11-03 00:00:00,BTT/USDT,0.00028500,0.00031000,0.00026920,0.00027850,15599018895.00000000,4332715.53580870,10994
1604275200000,2020-11-02 00:00:00,BTT/USDT,0.00029700,0.00030310,0.00028500,0.00028510,11252105301.00000000,3303276.67115920,6534
1604188800000,2020-11-01 00:00:00,BTT/USDT,0.00030100,0.00030370,0.00029360,0.00029710,8038019288.00000000,2401246.17310720,5426
1604102400000,2020-10-31 00:00:00,BTT/USDT,0.00029220,0.00030390,0.00028980,0.00030120,10110749860.00000000,3009758.35367950,7295
1604016000000,2020-10-30 00:00:00,BTT/USDT,0.00030270,0.00030280,0.00027960,0.00029250,11801782147.00000000,3437645.97024800,7854
1603929600000,2020-10-29 00:00:00,BTT/USDT,0.00030830,0.00031120,0.00029650,0.00030300,10464846688.00000000,3176648.44774490,6776
1603843200000,2020-10-28 00:00:00,BTT/USDT,0.00031640,0.00032120,0.00030410,0.00030830,10316636896.00000000,3219296.62888740,7486
1603756800000,2020-10-27 00:00:00,BTT/USDT,0.00031540,0.00032090,0.00031290,0.00031670,9587597834.00000000,3040820.99712950,6654
1603670400000,2020-10-26 00:00:00,BTT/USDT,0.00032750,0.00033160,0.00031290,0.00031560,11660648417.00000000,3771473.96687490,8782
1603584000000,2020-10-25 00:00:00,BTT/USDT,0.00033330,0.00033400,0.00032680,0.00032780,9364044310.00000000,3093361.97191250,6564
1603497600000,2020-10-24 00:00:00,BTT/USDT,0.00033370,0.00034650,0.00033080,0.00033350,8947316858.00000000,2983561.09299990,6229
1603411200000,2020-10-23 00:00:00,BTT/USDT,0.00033830,0.00034060,0.00032960,0.00033410,10345355367.00000000,3477617.92281990,8056
1603324800000,2020-10-22 00:00:00,BTT/USDT,0.00033640,0.00034810,0.00033480,0.00033830,12053920733.00000000,4098429.10843150,10287
1603238400000,2020-10-21 00:00:00,BTT/USDT,0.00033220,0.00034200,0.00033220,0.00033680,10574426775.00000000,3566282.63310850,9233
1603152000000,2020-10-20 00:00:00,BTT/USDT,0.00033990,0.00034750,0.00032650,0.00033240,11534566143.00000000,3850297.78254180,10690
1603065600000,2020-10-19 00:00:00,BTT/USDT,0.00034250,0.00034340,0.00033460,0.00033980,10131073288.00000000,3440703.51180550,7199
1602979200000,2020-10-18 00:00:00,BTT/USDT,0.00033390,0.00034330,0.00033210,0.00034260,8506707213.00000000,2885560.57349050,6141
1602892800000,2020-10-17 00:00:00,BTT/USDT,0.00033280,0.00034140,0.00032830,0.00033410,8552445304.00000000,2872766.31051600,6923
1602806400000,2020-10-16 00:00:00,BTT/USDT,0.00034370,0.00034470,0.00032610,0.00033300,12685164908.00000000,4265624.59069690,12257
1602720000000,2020-10-15 00:00:00,BTT/USDT,0.00033010,0.00036490,0.00032680,0.00034390,16431476052.00000000,5700970.27120090,17758
