https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1607558400000,2020-12-10 00:00:00,DASH/USDT,95.57000000,96.00000000,90.72000000,92.86000000,53630.21982000,5013530.13819180,13518
1607472000000,2020-12-09 00:00:00,DASH/USDT,95.03000000,96.09000000,88.50000000,95.62000000,108752.79224000,10106771.90242310,26662
1607385600000,2020-12-08 00:00:00,DASH/USDT,101.52000000,101.74000000,93.20000000,95.01000000,90673.34999000,8832346.58770430,25791
1607299200000,2020-12-07 00:00:00,DASH/USDT,102.02000000,104.44000000,100.30000000,101.53000000,79537.60729000,8132789.37341000,22135
1607212800000,2020-12-06 00:00:00,DASH/USDT,102.97000000,104.64000000,99.17000000,102.09000000,80287.08440000,8178470.41197090,21401
1607126400000,2020-12-05 00:00:00,DASH/USDT,98.84000000,103.65000000,96.58000000,102.99000000,91170.71242000,9174899.47201470,27902
1607040000000,2020-12-04 00:00:00,DASH/USDT,107.50000000,111.07000000,97.20000000,98.86000000,123974.68291000,12977612.23005580,44584
1606953600000,2020-12-03 00:00:00,DASH/USDT,105.21000000,108.39000000,103.60000000,107.54000000,112182.70218000,11941576.86529360,39825
1606867200000,2020-12-02 00:00:00,DASH/USDT,103.88000000,107.98000000,100.51000000,105.23000000,218429.70100000,22874212.91739570,68364
1606780800000,2020-12-01 00:00:00,DASH/USDT,112.83000000,116.00000000,97.00000000,103.91000000,327861.21345000,35682710.67237460,108343
1606694400000,2020-11-30 00:00:00,DASH/USDT,108.13000000,118.44000000,106.58000000,112.83000000,349570.55529000,39512736.50258230,102739
1606608000000,2020-11-29 00:00:00,DASH/USDT,108.92000000,114.52000000,104.10000000,108.15000000,354665.01410000,38563289.67457260,97342
1606521600000,2020-11-28 00:00:00,DASH/USDT,92.25000000,113.74000000,90.96000000,109.07000000,385819.18284000,39781112.81632090,95998
1606435200000,2020-11-27 00:00:00,DASH/USDT,91.79000000,98.00000000,86.81000000,92.32000000,211481.22952000,19331555.13505500,53478
1606348800000,2020-11-26 00:00:00,DASH/USDT,102.02000000,104.17000000,83.33000000,91.83000000,426643.49588000,39151021.69291230,124600
1606262400000,2020-11-25 00:00:00,DASH/USDT,114.45000000,116.15000000,97.96000000,102.06000000,387462.45355000,42639319.21038000,120830
1606176000000,2020-11-24 00:00:00,DASH/USDT,94.27000000,123.06000000,92.13000000,114.50000000,683633.09539000,75638924.74943850,210681
1606089600000,2020-11-23 00:00:00,DASH/USDT,90.49000000,95.51000000,89.32000000,94.24000000,225691.05838000,20786836.76530170,64834
1606003200000,2020-11-22 00:00:00,DASH/USDT,94.51000000,95.45000000,85.52000000,90.45000000,275616.21332000,24954310.38268830,66590
1605916800000,2020-11-21 00:00:00,DASH/USDT,83.31000000,94.65000000,82.86000000,94.57000000,267277.64828000,23689774.83513620,76495
1605830400000,2020-11-20 00:00:00,DASH/USDT,82.24000000,84.88000000,82.04000000,83.36000000,107251.80646000,8950116.94823990,34668
1605744000000,2020-11-19 00:00:00,DASH/USDT,80.06000000,84.85000000,77.76000000,82.21000000,132138.66925000,10768371.73681360,38061
1605657600000,2020-11-18 00:00:00,DASH/USDT,83.22000000,83.80000000,76.83000000,80.05000000,139284.11397000,11138836.33144950,41777
1605571200000,2020-11-17 00:00:00,DASH/USDT,80.65000000,83.92000000,80.08000000,83.21000000,130935.68606000,10743859.30055900,38097
1605484800000,2020-11-16 00:00:00,DASH/USDT,75.02000000,82.70000000,74.47000000,80.66000000,153555.21736000,12166120.88481510,41674
1605398400000,2020-11-15 00:00:00,DASH/USDT,77.32000000,77.69000000,73.51000000,74.98000000,131946.35171000,9922381.00027210,26863
1605312000000,2020-11-14 00:00:00,DASH/USDT,77.77000000,79.90000000,74.41000000,77.29000000,131760.44644000,10136601.28118970,38256
1605225600000,2020-11-13 00:00:00,DASH/USDT,77.70000000,79.40000000,75.66000000,77.74000000,116957.99186000,9045699.91232200,34940
1605139200000,2020-11-12 00:00:00,DASH/USDT,69.30000000,79.85000000,68.31000000,77.69000000,366353.56972000,27858045.94077080,104492
1605052800000,2020-11-11 00:00:00,DASH/USDT,68.84000000,71.60000000,68.68000000,69.31000000,92994.50111000,6525936.65652910,23246
1604966400000,2020-11-10 00:00:00,DASH/USDT,68.11000000,69.78000000,67.38000000,68.86000000,95086.52861000,6525119.63937190,23849
1604880000000,2020-11-09 00:00:00,DASH/USDT,68.05000000,69.07000000,66.29000000,68.09000000,100836.76846000,6828204.00250590,22792
1604793600000,2020-11-08 00:00:00,DASH/USDT,66.55000000,69.28000000,65.64000000,68.06000000,83662.10554000,5675900.16270480,18656
1604707200000,2020-11-07 00:00:00,DASH/USDT,70.03000000,72.20000000,64.92000000,66.57000000,172737.26606000,11927862.90803040,39266
1604620800000,2020-11-06 00:00:00,DASH/USDT,67.79000000,70.78000000,67.39000000,70.09000000,173271.68309000,12015320.64911700,35641
1604534400000,2020-11-05 00:00:00,DASH/USDT,64.70000000,70.27000000,63.56000000,67.78000000,145068.35795000,9657269.18282610,33170
1604448000000,2020-11-04 00:00:00,DASH/USDT,64.32000000,65.28000000,62.21000000,64.75000000,97632.54814000,6236778.37991560,19349
1604361600000,2020-11-03 00:00:00,DASH/USDT,64.91000000,65.48000000,63.09000000,64.32000000,110101.13633000,7056934.45770030,20748
1604275200000,2020-11-02 00:00:00,DASH/USDT,68.79000000,69.60000000,64.71000000,64.95000000,120342.39635000,8016470.49796580,24087
1604188800000,2020-11-01 00:00:00,DASH/USDT,70.10000000,70.68000000,68.19000000,68.79000000,75798.69681000,5245219.57069700,15176
1604102400000,2020-10-31 00:00:00,DASH/USDT,69.70000000,73.00000000,68.57000000,70.08000000,136272.27806000,9606300.71191580,30009
1604016000000,2020-10-30 00:00:00,DASH/USDT,67.08000000,72.63000000,64.01000000,69.69000000,194096.32743000,13332794.38025530,49641
1603929600000,2020-10-29 00:00:00,DASH/USDT,67.91000000,68.80000000,65.65000000,67.10000000,65662.37067000,4422883.09588820,14666
1603843200000,2020-10-28 00:00:00,DASH/USDT,70.71000000,71.12000000,66.70000000,67.91000000,94951.20751000,6540424.41358500,21675
1603756800000,2020-10-27 00:00:00,DASH/USDT,69.18000000,72.19000000,68.99000000,70.75000000,78640.63515000,5535985.78206840,19520
1603670400000,2020-10-26 00:00:00,DASH/USDT,71.05000000,72.49000000,68.38000000,69.19000000,91195.42775000,6448535.95578560,22961
1603584000000,2020-10-25 00:00:00,DASH/USDT,73.25000000,73.73000000,70.33000000,71.06000000,79876.78455000,5760697.58532580,20044
1603497600000,2020-10-24 00:00:00,DASH/USDT,72.16000000,73.93000000,71.39000000,73.31000000,90257.44587000,6539088.72203560,21684
1603411200000,2020-10-23 00:00:00,DASH/USDT,74.94000000,75.30000000,70.69000000,72.13000000,99986.52481000,7313638.40290500,27492
