https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1606608000000,2020-11-29 00:00:00,XMR/USDT,122.03000000,125.94000000,119.19000000,123.94000000,89194.22132000,10944573.43238560,38672
1606521600000,2020-11-28 00:00:00,XMR/USDT,117.33000000,124.99000000,114.32000000,122.03000000,84091.39691000,10120762.91500820,37215
1606435200000,2020-11-27 00:00:00,XMR/USDT,119.97000000,122.17000000,111.53000000,117.32000000,113857.03218000,13188053.83777210,47378
1606348800000,2020-11-26 00:00:00,XMR/USDT,128.85000000,132.37000000,108.07000000,119.98000000,280579.01746000,32917166.95319430,104759
1606262400000,2020-11-25 00:00:00,XMR/USDT,135.07000000,138.72000000,125.16000000,128.80000000,180359.32150000,24145151.86849390,82518
1606176000000,2020-11-24 00:00:00,XMR/USDT,129.86000000,142.85000000,126.32000000,135.15000000,309909.03792000,41392599.84390320,130071
1606089600000,2020-11-23 00:00:00,XMR/USDT,123.67000000,131.00000000,122.40000000,129.88000000,152118.50765000,19220884.45315750,69949
1606003200000,2020-11-22 00:00:00,XMR/USDT,128.49000000,129.72000000,119.17000000,123.65000000,146364.09470000,18206496.26844030,61428
1605916800000,2020-11-21 00:00:00,XMR/USDT,121.01000000,129.53000000,119.51000000,128.46000000,138732.15351000,17337159.37145860,57485
1605830400000,2020-11-20 00:00:00,XMR/USDT,118.44000000,123.02000000,117.95000000,121.04000000,118458.69929000,14352005.59049320,40754
1605744000000,2020-11-19 00:00:00,XMR/USDT,123.55000000,123.80000000,116.94000000,118.49000000,107567.94501000,12899352.24021700,37654
1605657600000,2020-11-18 00:00:00,XMR/USDT,125.48000000,126.50000000,118.83000000,123.51000000,143792.70839000,17674990.37109620,51149
1605571200000,2020-11-17 00:00:00,XMR/USDT,118.45000000,125.71000000,117.79000000,125.55000000,106174.35002000,12843681.66559090,40255
1605484800000,2020-11-16 00:00:00,XMR/USDT,114.62000000,119.97000000,113.49000000,118.52000000,93076.75528000,11005235.38372240,32912
1605398400000,2020-11-15 00:00:00,XMR/USDT,116.92000000,117.98000000,112.86000000,114.60000000,60211.76256000,6989560.32069970,23100
1605312000000,2020-11-14 00:00:00,XMR/USDT,114.10000000,117.63000000,113.15000000,116.89000000,82724.29824000,9528313.28257530,33528
1605225600000,2020-11-13 00:00:00,XMR/USDT,112.16000000,115.00000000,111.52000000,114.09000000,72394.10452000,8205422.94402750,28745
1605139200000,2020-11-12 00:00:00,XMR/USDT,113.12000000,115.06000000,110.09000000,112.16000000,94916.88949000,10656646.99384190,35301
1605052800000,2020-11-11 00:00:00,XMR/USDT,115.55000000,118.00000000,113.12000000,113.13000000,83359.02436000,9660854.33015300,28339
1604966400000,2020-11-10 00:00:00,XMR/USDT,115.89000000,117.94000000,114.05000000,115.54000000,57758.17237000,6703667.42455980,22795
1604880000000,2020-11-09 00:00:00,XMR/USDT,120.26000000,122.10000000,114.04000000,115.89000000,116465.70322000,13633350.59245660,41292
1604793600000,2020-11-08 00:00:00,XMR/USDT,111.03000000,120.98000000,109.61000000,120.33000000,80211.84229000,9310276.77492190,30316
1604707200000,2020-11-07 00:00:00,XMR/USDT,119.34000000,126.04000000,109.62000000,110.96000000,165912.07807000,19623367.47784510,60199
1604620800000,2020-11-06 00:00:00,XMR/USDT,119.51000000,124.26000000,116.29000000,119.37000000,127649.03125000,15418723.37652790,48056
1604534400000,2020-11-05 00:00:00,XMR/USDT,115.77000000,125.00000000,110.50000000,119.56000000,155407.85216000,17974506.45947130,56390
1604448000000,2020-11-04 00:00:00,XMR/USDT,121.18000000,121.82000000,113.60000000,115.67000000,121984.35128000,14400842.76715270,41105
1604361600000,2020-11-03 00:00:00,XMR/USDT,118.82000000,121.47000000,116.00000000,121.13000000,95292.37729000,11307213.64791160,36920
1604275200000,2020-11-02 00:00:00,XMR/USDT,127.08000000,128.30000000,115.57000000,118.82000000,116504.99356000,14069539.52371280,37617
1604188800000,2020-11-01 00:00:00,XMR/USDT,126.53000000,127.27000000,123.61000000,127.08000000,46154.30346000,5782422.74900940,16617
1604102400000,2020-10-31 00:00:00,XMR/USDT,122.96000000,128.30000000,121.29000000,126.52000000,114364.92277000,14220412.22112970,34115
1604016000000,2020-10-30 00:00:00,XMR/USDT,124.38000000,125.33000000,117.95000000,122.98000000,125530.60142000,15233422.39692820,39761
1603929600000,2020-10-29 00:00:00,XMR/USDT,126.32000000,128.65000000,121.69000000,124.38000000,117544.60749000,14758036.46656290,40801
1603843200000,2020-10-28 00:00:00,XMR/USDT,133.91000000,135.46000000,123.43000000,126.32000000,113742.98700000,14737968.47128210,38346
1603756800000,2020-10-27 00:00:00,XMR/USDT,131.35000000,138.03000000,131.18000000,133.83000000,114560.47849000,15504624.70354900,41133
1603670400000,2020-10-26 00:00:00,XMR/USDT,131.14000000,139.38000000,129.00000000,131.42000000,153558.89948000,20725087.84673170,56845
1603584000000,2020-10-25 00:00:00,XMR/USDT,129.30000000,134.24000000,127.83000000,131.08000000,90654.93906000,11869133.11783750,30566
1603497600000,2020-10-24 00:00:00,XMR/USDT,127.47000000,130.00000000,125.26000000,129.31000000,70316.55393000,8997573.62984770,24057
1603411200000,2020-10-23 00:00:00,XMR/USDT,127.62000000,127.66000000,122.41000000,127.47000000,79621.90336000,9959959.65798870,27449
1603324800000,2020-10-22 00:00:00,XMR/USDT,121.23000000,129.68000000,119.20000000,127.60000000,124422.52619000,15581926.82727160,42916
1603238400000,2020-10-21 00:00:00,XMR/USDT,118.25000000,126.35000000,116.55000000,121.24000000,137501.44444000,16814742.23867590,45118
1603152000000,2020-10-20 00:00:00,XMR/USDT,125.74000000,127.24000000,117.15000000,118.25000000,136324.66780000,16651864.66705430,44774
1603065600000,2020-10-19 00:00:00,XMR/USDT,124.37000000,130.32000000,122.48000000,125.77000000,129739.70769000,16427398.76452030,42842
1602979200000,2020-10-18 00:00:00,XMR/USDT,120.09000000,124.51000000,119.91000000,124.44000000,53838.03846000,6567168.63951690,19174
1602892800000,2020-10-17 00:00:00,XMR/USDT,120.62000000,122.84000000,118.92000000,120.10000000,65370.14601000,7876856.66749480,21833
1602806400000,2020-10-16 00:00:00,XMR/USDT,130.22000000,135.01000000,119.01000000,120.62000000,155249.71658000,19189677.07595880,44908
1602720000000,2020-10-15 00:00:00,XMR/USDT,128.44000000,132.45000000,123.55000000,130.22000000,120962.85721000,15464919.82581230,36124
1602633600000,2020-10-14 00:00:00,XMR/USDT,127.90000000,133.80000000,125.00000000,128.41000000,152115.52296000,19698081.07758190,41594
