https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1605484800000,2020-11-16 00:00:00,XLM/USDT,0.08010000,0.08275000,0.07923000,0.08250000,80129988.00000000,6508377.44374400,26349
1605398400000,2020-11-15 00:00:00,XLM/USDT,0.08101000,0.08217000,0.07851000,0.08009000,60437778.70000000,4886115.82465600,32184
1605312000000,2020-11-14 00:00:00,XLM/USDT,0.08249000,0.08441000,0.08051000,0.08094000,81737145.70000000,6728576.51128200,29107
1605225600000,2020-11-13 00:00:00,XLM/USDT,0.08063000,0.08266000,0.07989000,0.08249000,68534117.00000000,5573334.70246600,24841
1605139200000,2020-11-12 00:00:00,XLM/USDT,0.08041000,0.08106000,0.07894000,0.08069000,60752151.10000000,4861384.18095200,20881
1605052800000,2020-11-11 00:00:00,XLM/USDT,0.07966000,0.08221000,0.07947000,0.08039000,70101553.90000000,5680592.87429100,23148
1604966400000,2020-11-10 00:00:00,XLM/USDT,0.07973000,0.08251000,0.07916000,0.07967000,101245761.50000000,8163417.96647300,30255
1604880000000,2020-11-09 00:00:00,XLM/USDT,0.08151000,0.08215000,0.07799000,0.07970000,88475734.20000000,7087056.77077500,27543
1604793600000,2020-11-08 00:00:00,XLM/USDT,0.07956000,0.08288000,0.07863000,0.08150000,58894630.20000000,4777288.33605100,20123
1604707200000,2020-11-07 00:00:00,XLM/USDT,0.08387000,0.08625000,0.07792000,0.07952000,157018368.10000000,12955917.49815100,46433
1604620800000,2020-11-06 00:00:00,XLM/USDT,0.08039000,0.08540000,0.08021000,0.08388000,123861686.60000000,10295666.68292800,41946
1604534400000,2020-11-05 00:00:00,XLM/USDT,0.07460000,0.08253000,0.07333000,0.08039000,121345908.20000000,9429075.36890700,39593
1604448000000,2020-11-04 00:00:00,XLM/USDT,0.07542000,0.07570000,0.07258000,0.07456000,52790834.50000000,3917480.28309300,15923
1604361600000,2020-11-03 00:00:00,XLM/USDT,0.07556000,0.07626000,0.07306000,0.07542000,63148846.70000000,4710389.26513000,21143
1604275200000,2020-11-02 00:00:00,XLM/USDT,0.07860000,0.07950000,0.07534000,0.07557000,73197360.70000000,5649081.30306000,20126
1604188800000,2020-11-01 00:00:00,XLM/USDT,0.07770000,0.07869000,0.07639000,0.07861000,43553104.30000000,3372193.67487600,13037
1604102400000,2020-10-31 00:00:00,XLM/USDT,0.07670000,0.07979000,0.07653000,0.07775000,79568762.30000000,6252223.65371000,21637
1604016000000,2020-10-30 00:00:00,XLM/USDT,0.07750000,0.07857000,0.07424000,0.07669000,90162001.20000000,6861263.97459500,23464
1603929600000,2020-10-29 00:00:00,XLM/USDT,0.07827000,0.07892000,0.07541000,0.07750000,89317833.70000000,6914508.66943900,24387
1603843200000,2020-10-28 00:00:00,XLM/USDT,0.08187000,0.08222000,0.07742000,0.07832000,115640078.20000000,9267660.82798100,31805
1603756800000,2020-10-27 00:00:00,XLM/USDT,0.08102000,0.08318000,0.08092000,0.08183000,93001005.10000000,7630154.70493700,24915
1603670400000,2020-10-26 00:00:00,XLM/USDT,0.08301000,0.08451000,0.07977000,0.08104000,93346446.20000000,7690568.09194100,25912
1603584000000,2020-10-25 00:00:00,XLM/USDT,0.08558000,0.08574000,0.08213000,0.08304000,63947193.90000000,5369008.44318000,20262
1603497600000,2020-10-24 00:00:00,XLM/USDT,0.08365000,0.08619000,0.08333000,0.08561000,68912617.70000000,5833967.26744400,19697
1603411200000,2020-10-23 00:00:00,XLM/USDT,0.08546000,0.08642000,0.08263000,0.08368000,78801385.00000000,6681095.11663300,22662
1603324800000,2020-10-22 00:00:00,XLM/USDT,0.08364000,0.08790000,0.08357000,0.08552000,132795047.20000000,11377254.54501400,35786
1603238400000,2020-10-21 00:00:00,XLM/USDT,0.08071000,0.08641000,0.08035000,0.08358000,183571524.60000000,15377257.10554400,49385
1603152000000,2020-10-20 00:00:00,XLM/USDT,0.08520000,0.08683000,0.08041000,0.08075000,154320044.40000000,12829813.84044800,44412
1603065600000,2020-10-19 00:00:00,XLM/USDT,0.07940000,0.08734000,0.07938000,0.08520000,234410704.00000000,19790008.21514300,64332
1602979200000,2020-10-18 00:00:00,XLM/USDT,0.08152000,0.08212000,0.07914000,0.07942000,69601715.80000000,5613730.14308300,20217
1602892800000,2020-10-17 00:00:00,XLM/USDT,0.07909000,0.08400000,0.07750000,0.08152000,241972319.60000000,19643694.83230400,62053
1602806400000,2020-10-16 00:00:00,XLM/USDT,0.07408000,0.07919000,0.07191000,0.07909000,135816358.50000000,10187723.26704900,33607
1602720000000,2020-10-15 00:00:00,XLM/USDT,0.07398000,0.07441000,0.07182000,0.07408000,76857630.50000000,5632525.08409000,22912
1602633600000,2020-10-14 00:00:00,XLM/USDT,0.07635000,0.07680000,0.07355000,0.07398000,84607215.10000000,6351028.82759900,23145
1602547200000,2020-10-13 00:00:00,XLM/USDT,0.07757000,0.07761000,0.07540000,0.07635000,76725508.10000000,5881220.58289900,20777
1602460800000,2020-10-12 00:00:00,XLM/USDT,0.07713000,0.07917000,0.07593000,0.07761000,95118142.60000000,7382894.88913600,25268
1602374400000,2020-10-11 00:00:00,XLM/USDT,0.07731000,0.07881000,0.07675000,0.07713000,74728102.70000000,5799450.98024400,20424
1602288000000,2020-10-10 00:00:00,XLM/USDT,0.07502000,0.07846000,0.07499000,0.07730000,105583212.70000000,8139161.70620500,28312
1602201600000,2020-10-09 00:00:00,XLM/USDT,0.07317000,0.07583000,0.07235000,0.07502000,114006657.60000000,8485345.14150600,27070
1602115200000,2020-10-08 00:00:00,XLM/USDT,0.07231000,0.07350000,0.07010000,0.07311000,91630381.10000000,6597805.14308700,23086
1602028800000,2020-10-07 00:00:00,XLM/USDT,0.07237000,0.07330000,0.07057000,0.07233000,83762976.10000000,6029894.44040600,19189
1601942400000,2020-10-06 00:00:00,XLM/USDT,0.07332000,0.07550000,0.07156000,0.07237000,122403203.80000000,8975139.47220600,31196
1601856000000,2020-10-05 00:00:00,XLM/USDT,0.07291000,0.07408000,0.07224000,0.07331000,62279869.10000000,4557129.54616800,15684
1601769600000,2020-10-04 00:00:00,XLM/USDT,0.07099000,0.07343000,0.07033000,0.07290000,50278131.10000000,3611315.15508900,12637
1601683200000,2020-10-03 00:00:00,XLM/USDT,0.07097000,0.07210000,0.07061000,0.07100000,45557361.70000000,3247705.84753100,11458
1601596800000,2020-10-02 00:00:00,XLM/USDT,0.07314000,0.07392000,0.06861000,0.07096000,117228467.00000000,8297041.83915300,28612
1601510400000,2020-10-01 00:00:00,XLM/USDT,0.07492000,0.07630000,0.07132000,0.07314000,118369484.00000000,8783139.53507100,28253
1601424000000,2020-09-30 00:00:00,XLM/USDT,0.07406000,0.07510000,0.07205000,0.07484000,82496014.70000000,6053523.13238100,21021
1601337600000,2020-09-29 00:00:00,XLM/USDT,0.07318000,0.07503000,0.07199000,0.07407000,81120013.70000000,5964591.35027800,19894
1601251200000,2020-09-28 00:00:00,XLM/USDT,0.07335000,0.07606000,0.07250000,0.07323000,114180696.60000000,8516345.59878000,24747
1601164800000,2020-09-27 00:00:00,XLM/USDT,0.07380000,0.07447000,0.07122000,0.07335000,71111591.20000000,5195259.31079800,16622
1601078400000,2020-09-26 00:00:00,XLM/USDT,0.07467000,0.07645000,0.07248000,0.07385000,79626370.30000000,5913861.07461600,19410
1600992000000,2020-09-25 00:00:00,XLM/USDT,0.07041000,0.07561000,0.06906000,0.07467000,176066613.00000000,12746048.70358100,37500
1600905600000,2020-09-24 00:00:00,XLM/USDT,0.06740000,0.07087000,0.06671000,0.07043000,147671979.50000000,10227832.12928700,31146
1600819200000,2020-09-23 00:00:00,XLM/USDT,0.07167000,0.07230000,0.06701000,0.06740000,104101886.30000000,7264024.88417700,23117
1600732800000,2020-09-22 00:00:00,XLM/USDT,0.06998000,0.07229000,0.06942000,0.07167000,89881737.30000000,6362572.23683400,20251
1600646400000,2020-09-21 00:00:00,XLM/USDT,0.07689000,0.07743000,0.06893000,0.06996000,123444048.90000000,8984011.09630000,29523
1600560000000,2020-09-20 00:00:00,XLM/USDT,0.07849000,0.07864000,0.07523000,0.07693000,80272318.70000000,6179145.76100300,18681
1600473600000,2020-09-19 00:00:00,XLM/USDT,0.07824000,0.07941000,0.07707000,0.07857000,73576059.40000000,5757874.58100900,16302
1600387200000,2020-09-18 00:00:00,XLM/USDT,0.08044000,0.08074000,0.07716000,0.07825000,76038257.90000000,6002892.99125400,19317
1600300800000,2020-09-17 00:00:00,XLM/USDT,0.08000000,0.08228000,0.07797000,0.08043000,103697577.90000000,8291874.41767000,26367
1600214400000,2020-09-16 00:00:00,XLM/USDT,0.07775000,0.08143000,0.07502000,0.07999000,148810911.30000000,11768421.97100400,36855
1600128000000,2020-09-15 00:00:00,XLM/USDT,0.08014000,0.08152000,0.07744000,0.07778000,116809453.70000000,9311532.42206500,29310
1600041600000,2020-09-14 00:00:00,XLM/USDT,0.08001000,0.08201000,0.07876000,0.08021000,103302018.80000000,8325990.95273100,26891
1599955200000,2020-09-13 00:00:00,XLM/USDT,0.08385000,0.08466000,0.07911000,0.08001000,101453294.30000000,8287782.87062400,30820
1599868800000,2020-09-12 00:00:00,XLM/USDT,0.08369000,0.08470000,0.08227000,0.08382000,71354066.40000000,5970316.40345000,20193
1599782400000,2020-09-11 00:00:00,XLM/USDT,0.08114000,0.08425000,0.07907000,0.08374000,81437641.20000000,6655788.34928800,22615
1599696000000,2020-09-10 00:00:00,XLM/USDT,0.07826000,0.08318000,0.07819000,0.08117000,121145058.40000000,9763547.46767900,31846
1599609600000,2020-09-09 00:00:00,XLM/USDT,0.07743000,0.07975000,0.07555000,0.07832000,81030702.60000000,6318603.05837300,21854
1599523200000,2020-09-08 00:00:00,XLM/USDT,0.07868000,0.07950000,0.07498000,0.07745000,140072273.10000000,10814740.48929900,38648
