https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1607731200000,2020-12-12 00:00:00,ZEC/USDT,63.71000000,66.77000000,63.49000000,65.95000000,98199.33080000,6433909.50181340,21525
1607644800000,2020-12-11 00:00:00,ZEC/USDT,66.00000000,66.15000000,62.49000000,63.71000000,156879.67318000,10056943.10378290,32362
1607558400000,2020-12-10 00:00:00,ZEC/USDT,69.39000000,69.91000000,65.20000000,65.96000000,164672.09023000,11046340.37381650,32445
1607472000000,2020-12-09 00:00:00,ZEC/USDT,69.53000000,71.02000000,65.50000000,69.38000000,223180.89651000,15332245.36816850,45246
1607385600000,2020-12-08 00:00:00,ZEC/USDT,75.56000000,75.79000000,68.74000000,69.61000000,180111.67791000,12983214.85674310,43147
1607299200000,2020-12-07 00:00:00,ZEC/USDT,74.65000000,76.84000000,73.53000000,75.57000000,202837.48599000,15222964.71692380,43093
1607212800000,2020-12-06 00:00:00,ZEC/USDT,71.83000000,74.99000000,69.93000000,74.61000000,125412.26906000,9067230.93916540,25562
1607126400000,2020-12-05 00:00:00,ZEC/USDT,69.00000000,72.35000000,68.39000000,71.83000000,86155.78905000,6119411.19616440,22567
1607040000000,2020-12-04 00:00:00,ZEC/USDT,75.65000000,76.11000000,68.34000000,69.01000000,214581.74297000,15699169.58004460,47201
1606953600000,2020-12-03 00:00:00,ZEC/USDT,76.62000000,77.13000000,74.26000000,75.69000000,183725.31010000,13930825.47124070,32093
1606867200000,2020-12-02 00:00:00,ZEC/USDT,74.81000000,77.14000000,73.38000000,76.66000000,223551.64837000,16829772.58023300,46968
1606780800000,2020-12-01 00:00:00,ZEC/USDT,78.95000000,82.12000000,71.40000000,74.82000000,547564.91695000,42429227.57255440,109295
1606694400000,2020-11-30 00:00:00,ZEC/USDT,75.11000000,79.95000000,73.60000000,78.91000000,329165.41588000,25358214.66660920,56436
1606608000000,2020-11-29 00:00:00,ZEC/USDT,75.29000000,76.59000000,71.80000000,75.06000000,223615.47033000,16581683.84375080,37307
1606521600000,2020-11-28 00:00:00,ZEC/USDT,69.55000000,76.48000000,68.88000000,75.31000000,312124.83154000,22730720.32264810,48960
1606435200000,2020-11-27 00:00:00,ZEC/USDT,70.18000000,71.34000000,66.00000000,69.50000000,246789.61396000,16897751.12758830,37293
1606348800000,2020-11-26 00:00:00,ZEC/USDT,78.06000000,79.88000000,63.42000000,70.16000000,901564.23103000,64168314.35709700,132674
1606262400000,2020-11-25 00:00:00,ZEC/USDT,86.81000000,88.31000000,75.20000000,78.15000000,728874.23828000,59970469.59621720,117263
1606176000000,2020-11-24 00:00:00,ZEC/USDT,79.51000000,90.00000000,76.03000000,86.80000000,960693.04491000,78937053.56138760,162101
1606089600000,2020-11-23 00:00:00,ZEC/USDT,68.80000000,80.73000000,67.40000000,79.52000000,671981.80046000,49692611.81014360,112740
1606003200000,2020-11-22 00:00:00,ZEC/USDT,72.65000000,73.99000000,65.05000000,68.79000000,632768.77391000,43729583.48481930,97979
1605916800000,2020-11-21 00:00:00,ZEC/USDT,63.20000000,73.00000000,62.40000000,72.62000000,700718.48441000,47563535.35617110,97751
1605830400000,2020-11-20 00:00:00,ZEC/USDT,62.36000000,64.60000000,62.05000000,63.23000000,254819.12283000,16119094.13586630,41836
1605744000000,2020-11-19 00:00:00,ZEC/USDT,63.17000000,64.04000000,60.35000000,62.38000000,301306.22657000,18764234.39251520,48363
1605657600000,2020-11-18 00:00:00,ZEC/USDT,66.80000000,67.82000000,60.17000000,63.17000000,459898.13902000,29224980.39862680,77272
1605571200000,2020-11-17 00:00:00,ZEC/USDT,64.52000000,67.11000000,64.12000000,66.82000000,282115.00969000,18488378.11656080,51035
1605484800000,2020-11-16 00:00:00,ZEC/USDT,61.13000000,67.35000000,60.53000000,64.55000000,336410.04638000,21690918.78501640,55111
1605398400000,2020-11-15 00:00:00,ZEC/USDT,63.90000000,64.25000000,59.64000000,61.16000000,221477.80024000,13721179.94971960,36979
1605312000000,2020-11-14 00:00:00,ZEC/USDT,65.80000000,65.88000000,61.45000000,63.90000000,301856.23836000,19125532.49216690,50296
1605225600000,2020-11-13 00:00:00,ZEC/USDT,62.99000000,66.02000000,61.64000000,65.80000000,322867.53700000,20593847.22172820,52256
1605139200000,2020-11-12 00:00:00,ZEC/USDT,58.88000000,63.41000000,57.82000000,62.99000000,414669.94927000,25586231.46356260,70096
1605052800000,2020-11-11 00:00:00,ZEC/USDT,59.07000000,60.71000000,58.53000000,58.92000000,172076.77395000,10285407.12604360,27955
1604966400000,2020-11-10 00:00:00,ZEC/USDT,58.41000000,62.50000000,57.77000000,59.06000000,318622.74603000,19363354.26301980,53102
1604880000000,2020-11-09 00:00:00,ZEC/USDT,60.57000000,61.09000000,55.73000000,58.42000000,251583.19344000,14817902.13201980,38499
1604793600000,2020-11-08 00:00:00,ZEC/USDT,57.39000000,61.78000000,56.78000000,60.61000000,144750.49810000,8615649.71528610,24814
1604707200000,2020-11-07 00:00:00,ZEC/USDT,61.57000000,62.89000000,55.67000000,57.40000000,393181.29790000,23385524.72911700,62261
1604620800000,2020-11-06 00:00:00,ZEC/USDT,56.71000000,61.64000000,56.31000000,61.57000000,283042.28899000,16538648.13753980,49116
1604534400000,2020-11-05 00:00:00,ZEC/USDT,54.11000000,57.46000000,52.83000000,56.69000000,257735.43768000,14173867.29625790,39846
1604448000000,2020-11-04 00:00:00,ZEC/USDT,53.21000000,54.59000000,51.91000000,54.09000000,184955.08141000,9838808.19824670,29483
1604361600000,2020-11-03 00:00:00,ZEC/USDT,54.78000000,54.96000000,51.60000000,53.20000000,206052.69162000,10898228.95205260,32597
1604275200000,2020-11-02 00:00:00,ZEC/USDT,58.21000000,59.30000000,54.55000000,54.77000000,180991.50627000,10228509.05145310,29823
1604188800000,2020-11-01 00:00:00,ZEC/USDT,58.16000000,58.70000000,57.15000000,58.17000000,111226.32965000,6429628.75412450,17853
1604102400000,2020-10-31 00:00:00,ZEC/USDT,58.21000000,59.38000000,57.31000000,58.16000000,149905.99137000,8754038.99540200,29071
1604016000000,2020-10-30 00:00:00,ZEC/USDT,56.84000000,59.78000000,54.03000000,58.21000000,246568.31783000,14094517.85767300,45666
1603929600000,2020-10-29 00:00:00,ZEC/USDT,56.79000000,57.88000000,54.53000000,56.87000000,189555.85530000,10708616.49887610,32821
1603843200000,2020-10-28 00:00:00,ZEC/USDT,61.15000000,61.58000000,55.15000000,56.80000000,271428.52878000,15920192.67812320,43313
1603756800000,2020-10-27 00:00:00,ZEC/USDT,60.20000000,62.10000000,59.86000000,61.20000000,175850.85421000,10724939.88744640,33319
1603670400000,2020-10-26 00:00:00,ZEC/USDT,62.68000000,63.82000000,58.45000000,60.20000000,247258.60689000,15133131.19638110,43179
1603584000000,2020-10-25 00:00:00,ZEC/USDT,64.16000000,65.03000000,61.92000000,62.77000000,151737.68370000,9602880.60616810,31794
1603497600000,2020-10-24 00:00:00,ZEC/USDT,63.23000000,65.65000000,61.59000000,64.14000000,173358.37966000,10964747.01975290,32940
1603411200000,2020-10-23 00:00:00,ZEC/USDT,65.52000000,65.54000000,60.68000000,63.26000000,221102.79979000,14056115.14069200,44552
1603324800000,2020-10-22 00:00:00,ZEC/USDT,62.67000000,67.11000000,62.60000000,65.54000000,262644.44969000,17081842.16900550,54736
1603238400000,2020-10-21 00:00:00,ZEC/USDT,57.84000000,64.76000000,57.50000000,62.72000000,288370.95073000,17896994.82646970,53214
1603152000000,2020-10-20 00:00:00,ZEC/USDT,64.06000000,65.00000000,56.50000000,57.85000000,277810.39041000,16990213.34572030,52974
1603065600000,2020-10-19 00:00:00,ZEC/USDT,64.44000000,65.60000000,62.00000000,64.08000000,204675.80606000,13055442.16001600,35878
1602979200000,2020-10-18 00:00:00,ZEC/USDT,62.97000000,64.50000000,62.50000000,64.42000000,101464.27639000,6418855.86726590,20567
1602892800000,2020-10-17 00:00:00,ZEC/USDT,62.57000000,63.47000000,60.92000000,62.99000000,170841.02464000,10638299.62625030,29087
1602806400000,2020-10-16 00:00:00,ZEC/USDT,68.24000000,69.83000000,60.83000000,62.59000000,382686.35475000,24480364.80710860,62534
